epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,163.152,1.40342,0.88203,1.27204,0.66707,0.23987,0.26724,0.13869,2.11597,2.57778,2.00097,0.00100084,0.00100084,0.00100084
43,166.792,1.4443,0.84439,1.25515,0.5757,0.24853,0.26115,0.15506,2.01056,2.68547,1.95893,0.000995597,0.000995597,0.000995597
44,170.456,1.41238,0.81122,1.24144,0.23817,0.22297,0.22906,0.15646,1.88053,2.72486,1.81919,0.000990249,0.000990249,0.000990249
45,174.124,1.42105,0.80933,1.21037,0.60793,0.24627,0.28746,0.16899,1.87823,2.53961,1.76917,0.000984795,0.000984795,0.000984795
46,177.769,1.39583,0.8234,1.24161,0.5887,0.22177,0.25986,0.17138,1.89524,2.88872,1.80931,0.000979236,0.000979236,0.000979236
47,181.416,1.3731,0.80314,1.21424,0.52197,0.19751,0.24385,0.1677,1.85624,3.08461,1.77424,0.000973575,0.000973575,0.000973575
48,185.281,1.43524,0.84696,1.26846,0.84234,0.2029,0.24117,0.14038,1.88692,3.10622,1.80311,0.000967811,0.000967811,0.000967811
49,188.932,1.36494,0.80903,1.23656,0.7428,0.23077,0.25466,0.10794,2.03581,3.0712,1.92912,0.000961948,0.000961948,0.000961948
50,192.606,1.40522,0.8262,1.26295,0.67048,0.19425,0.23795,0.10561,2.01765,2.99439,1.87904,0.000955985,0.000955985,0.000955985
51,196.243,1.36761,0.7641,1.2276,0.57534,0.16581,0.21382,0.09968,2.15969,3.00132,1.99606,0.000949925,0.000949925,0.000949925
52,199.872,1.41564,0.88561,1.27974,0.89164,0.15595,0.20299,0.1001,2.18756,3.22427,2.07329,0.000943769,0.000943769,0.000943769
53,203.528,1.39696,0.86101,1.23443,0.87684,0.21526,0.27642,0.18757,1.80958,2.59877,1.71097,0.000937518,0.000937518,0.000937518
54,207.169,1.35109,0.78557,1.22629,0.5643,0.23998,0.27448,0.19508,1.75801,2.21235,1.67309,0.000931175,0.000931175,0.000931175
55,210.815,1.33499,0.78178,1.19135,0.59007,0.16385,0.23393,0.15652,1.90227,2.5201,1.75768,0.00092474,0.00092474,0.00092474
56,214.501,1.34238,0.7655,1.19423,0.61595,0.13225,0.19108,0.11523,2.02521,3.22818,1.85497,0.000918216,0.000918216,0.000918216
57,218.162,1.34723,0.78642,1.2303,0.62259,0.13147,0.19061,0.12458,2.1045,3.02641,1.97786,0.000911603,0.000911603,0.000911603
58,221.852,1.27973,0.75279,1.1906,0.74079,0.13942,0.21188,0.1294,2.27956,3.03971,2.14999,0.000904904,0.000904904,0.000904904
59,225.488,1.29967,0.73901,1.16107,0.46503,0.20352,0.24504,0.1392,2.28159,3.04204,2.15748,0.00089812,0.00089812,0.00089812
60,229.139,1.25613,0.73698,1.1617,0.50507,0.20349,0.24032,0.14998,2.32988,3.01353,2.21905,0.000891253,0.000891253,0.000891253
61,232.981,1.27446,0.7077,1.17992,0.47872,0.20461,0.23581,0.167,2.16633,3.05747,2.03895,0.000884305,0.000884305,0.000884305
62,236.67,1.24419,0.69183,1.14981,0.48185,0.2288,0.22642,0.1607,2.07191,2.65774,1.95723,0.000877276,0.000877276,0.000877276
63,240.305,1.23465,0.68879,1.14354,0.46998,0.31438,0.21745,0.15751,2.02357,2.60713,1.92805,0.00087017,0.00087017,0.00087017
64,243.966,1.23884,0.73381,1.16867,0.45939,0.30624,0.21026,0.13972,1.9914,2.6818,1.91816,0.000862987,0.000862987,0.000862987
65,247.62,1.27227,0.74658,1.15564,0.52094,0.12385,0.19512,0.12981,1.92243,2.87256,1.85512,0.00085573,0.00085573,0.00085573
66,251.301,1.23873,0.70981,1.1667,0.48516,0.19927,0.22329,0.14781,1.88788,2.91733,1.74803,0.0008484,0.0008484,0.0008484
67,254.95,1.23784,0.6766,1.15706,0.50522,0.2083,0.22255,0.144,2.00125,2.95053,1.82197,0.000841,0.000841,0.000841
68,258.627,1.21339,0.67125,1.12524,0.58035,0.20771,0.23934,0.15215,2.19278,2.92918,2.02098,0.00083353,0.00083353,0.00083353
69,262.5,1.22347,0.66965,1.13573,0.50931,0.1979,0.22436,0.14386,2.21571,3.00818,2.05757,0.000825993,0.000825993,0.000825993
70,266.213,1.18186,0.64144,1.11184,0.53886,0.2158,0.22729,0.13657,2.05276,3.17091,1.92234,0.000818391,0.000818391,0.000818391
71,269.881,1.30384,0.73065,1.17578,0.57061,0.22213,0.23497,0.13476,2.07331,3.26697,1.9531,0.000810725,0.000810725,0.000810725
72,273.565,1.19502,0.67251,1.11888,0.69607,0.2029,0.24537,0.1492,2.0557,3.23439,1.96861,0.000802997,0.000802997,0.000802997
73,277.222,1.15118,0.65053,1.10651,0.65542,0.19269,0.24543,0.1476,2.1719,3.25929,2.10392,0.00079521,0.00079521,0.00079521
74,280.883,1.19773,0.63599,1.11659,0.5183,0.17855,0.27605,0.15531,2.18941,3.2656,2.0993,0.000787365,0.000787365,0.000787365
75,284.527,1.1852,0.62374,1.12487,0.76188,0.17876,0.23375,0.13066,2.16747,3.32109,2.01845,0.000779464,0.000779464,0.000779464
76,288.192,1.16661,0.65127,1.10202,0.86008,0.22155,0.25938,0.17181,1.98496,3.36019,1.85035,0.00077151,0.00077151,0.00077151
